Image,PSNR_AA,SSIM_AA,PSNR_No_AA,SSIM_No_AA,PSNR_Gain,SSIM_Gain
PNST_22_1_valid_patch_01,27.9038,0.846616,29.1391,0.90861,-1.2353,-0.061994
PNST_25_1_valid_patch_00,30.2574,0.878713,31.1059,0.915373,-0.8485,-0.03666
PNST_25_1_valid_patch_01,28.9979,0.857624,30.1602,0.90402,-1.1623,-0.046396
Plasmacytoma_05_1_valid_patch_00,30.6575,0.910065,31.0639,0.926987,-0.4064,-0.016922
Plasmacytoma_05_1_valid_patch_01,30.4771,0.915146,30.6398,0.927307,-0.1627,-0.012161
Plasmacytoma_13_1_valid_patch_00,32.0627,0.862246,32.4995,0.88498,-0.4368,-0.022734
Plasmacytoma_13_1_valid_patch_01,27.2135,0.836253,27.9385,0.893709,-0.725,-0.057456
Plasmacytoma_16_1_valid_patch_00,26.2632,0.861932,26.7033,0.899836,-0.4401,-0.037904
Plasmacytoma_16_1_valid_patch_01,26.1962,0.864932,26.8065,0.90479,-0.6103,-0.039858
Plasmacytoma_18_1_valid_patch_00,29.4737,0.911804,29.4746,0.93724,-0.0009,-0.025436
Plasmacytoma_18_1_valid_patch_01,28.2864,0.889431,28.2753,0.915286,0.0111,-0.025855
Plasmacytoma_25_1_valid_patch_00,26.7362,0.875843,26.8294,0.905454,-0.0932,-0.029611
Plasmacytoma_25_1_valid_patch_01,26.6554,0.786194,27.1215,0.845637,-0.4661,-0.059443
Plasmacytoma_40_1_valid_patch_00,29.2677,0.90234,29.6159,0.927026,-0.3482,-0.024686
Plasmacytoma_40_1_valid_patch_01,31.7511,0.944508,32.1795,0.959042,-0.4284,-0.014534
Plasmacytoma_42_1_valid_patch_00,31.5586,0.943855,31.9559,0.957147,-0.3973,-0.013292
Plasmacytoma_42_1_valid_patch_01,30.9974,0.941901,30.9004,0.952143,0.097,-0.010242
SCC_01_2_valid_patch_00,28.3144,0.836609,28.9872,0.872735,-0.6728,-0.036126
SCC_01_2_valid_patch_01,27.403,0.832589,27.6153,0.864294,-0.2123,-0.031705
SCC_16_2_valid_patch_00,28.3708,0.814176,28.6032,0.847725,-0.2324,-0.033549
SCC_16_2_valid_patch_01,28.8678,0.860906,28.292,0.873467,0.5758,-0.012561
SCC_17_1_valid_patch_00,28.7953,0.860228,29.8501,0.903755,-1.0548,-0.043527
SCC_17_1_valid_patch_01,28.3318,0.875422,28.3645,0.906095,-0.0327,-0.030673
SCC_24_1_valid_patch_00,27.8382,0.812598,28.5994,0.869411,-0.7612,-0.056813
SCC_24_1_valid_patch_01,27.6303,0.842593,28.877,0.896609,-1.2467,-0.054016
SCC_25_1_valid_patch_00,29.1992,0.801159,30.1669,0.865687,-0.9677,-0.064528
SCC_25_1_valid_patch_01,27.3431,0.843596,27.5216,0.875061,-0.1785,-0.031465
SCC_26_1_valid_patch_00,30.0663,0.860863,30.225,0.884156,-0.1587,-0.023293
SCC_26_1_valid_patch_01,29.4462,0.869957,29.7609,0.896732,-0.3147,-0.026775
